,App,SHA,TestFilePath,ReplaceNOToperator,isReplaceNOToperator,prediction
13,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,flink/tsfile/RowTsFileInputFormatTest.java,0.0,False,True
17,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,hadoop/tsfile/TSFHadoopTest.java,0.0,False,True
25,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,flink/IoTDBSinkBatchInsertTest.java,0.0,False,False
29,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,web/grafana/dao/impl/BasicDaoImplTest.java,0.0,False,False
35,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,spark/it/WriteTest.java,0.0,False,True
39,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/consensus/request/ConfigPhysicalPlanSerDeTest.java,0.0,False,True
47,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/persistence/schema/ClusterSchemaInfoTest.java,0.0,False,True
76,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/procedure/env/TestProcEnv.java,0.0,False,False
109,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/file/metadata/ChunkMetadataTest.java,0.0,False,False
149,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/query/timegenerator/ReaderByTimestampTest.java,0.0,False,True
166,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/reader/ChunkReaderTest.java,0.0,False,True
204,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/encoding/decoder/LongZigzagDecoderTest.java,0.0,False,True
236,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/utils/datastructure/BooleanTVListTest.java,0.0,False,True
257,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/reader/universal/AlignedPriorityMergeReaderTest.java,0.0,False,False
263,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/SerializableFloatTVListTest.java,0.0,False,False
265,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/SerializableRowRecordListTest.java,0.0,False,True
267,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/LRUCacheTest.java,0.0,False,True
270,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/SerializableDoubleTVListTest.java,0.0,False,False
287,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/storagegroup/TsFileProcessorTest.java,0.0,False,True
302,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/compaction/cross/RewriteCrossSpaceCompactionWithFastPerformerTest.java,0.0,False,True
315,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/compaction/inner/InnerSpaceCompactionSelectorTest.java,0.0,False,True
340,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/cache/ChunkCacheTest.java,0.0,False,True
352,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,session/util/ThreadUtilsTest.java,0.0,False,False
385,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,jdbc/IoTDBResultMetadataTest.java,0.0,False,True
391,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/consensus/request/ConfigPhysicalPlanSerDeTest.java,0.0,False,True
393,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/persistence/partition/statistics/RegionGroupStatisticsTest.java,0.0,False,True
398,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/persistence/TemplateTableTest.java,0.0,False,True
399,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/persistence/NodeInfoTest.java,0.0,False,False
404,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/impl/DeleteTimeSeriesProcedureTest.java,0.0,False,False
406,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/impl/DeactivateTemplateProcedureTest.java,0.0,False,False
411,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/impl/CreateTriggerProcedureTest.java,0.0,False,False
413,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/impl/CreateCQProcedureTest.java,0.0,False,False
418,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/env/TestProcEnv.java,0.0,False,False
420,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/store/TestProcedureStore.java,0.0,False,True
424,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/TestSTMProcedure.java,0.0,False,True
426,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/manager/hash/DeviceGroupHashExecutorManualTest.java,0.0,False,False
441,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/file/header/PageHeaderTest.java,0.0,False,False
457,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/utils/ReadWriteIOUtilsTest.java,0.0,False,False
465,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/utils/FilePathUtilsTest.java,0.0,False,True
478,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/read/TsFileRestorableReaderTest.java,0.0,False,True
482,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/read/controller/ChunkLoaderTest.java,0.0,False,True
496,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/read/MeasurementChunkMetadataListMapIteratorTest.java,0.0,False,True
511,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/common/block/TsBlockTest.java,0.0,False,True
512,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/common/block/BinaryArrayColumnEncoderTest.java,0.0,False,True
521,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/write/ReadPageInMemTest.java,0.0,False,True
529,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/write/writer/TimePageWriterTest.java,0.0,False,False
532,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/write/writer/MeasurementSchemaSerializeTest.java,0.0,False,False
544,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/encoding/decoder/delta/DeltaBinaryEncoderLongTest.java,0.0,False,True
551,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/encoding/decoder/IntRleDecoderTest.java,0.0,False,True
553,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/encoding/decoder/FreqDecoderTest.java,0.0,False,True
579,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/utils/SchemaUtilsTest.java,0.0,False,False
587,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/tools/TsFileAndModSettleToolTest.java,0.0,False,True
591,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/query/reader/universal/AlignedPriorityMergeReaderTest.java,0.0,False,False
607,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/memtable/PrimitiveMemTableTest.java,0.0,False,True
614,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/storagegroup/TTLTest.java,0.0,False,True
627,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/utils/MultiTsFileDeviceIteratorTest.java,0.0,False,True
628,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/TestUtilsForAlignedSeries.java,0.0,False,False
634,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/cross/CrossSpaceCompactionSelectorTest.java,0.0,False,True
641,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/CompactionSchedulerTest.java,0.0,False,True
643,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/inner/sizetiered/SizeTieredCompactionTest.java,0.0,False,False
647,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/inner/FastCompactionPerformerNoAlignedTest.java,0.0,False,True
652,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/inner/InnerCompactionEmptyTsFileTest.java,0.0,False,True
