,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,9.0,4.0,0.0,0.0,0.0,0.3076923076923077,0.6923076923076923,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,0.0,1.0,14.0,11.0,0.0,0.0,0.5384615384615384,0.038461538461538464,0.0,-0.17126976771553504,0.4666666666666667
6,22.0,27.0,33.0,55.0,0.4489795918367347,0.2857142857142857,0.40145985401459855,0.35766423357664234,0.3492063492063492,-0.17005186998079444,0.4025974025974026
7,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
8,,,,,,,,,,,
9,0.0,8.0,12.0,1.0,0.0,0.0,0.5714285714285714,0.38095238095238093,0.0,-0.17541160386140586,0.25
10,2.0,0.0,4.0,2.0,1.0,0.5,0.75,0.25,0.6666666666666666,0.5773502691896258,0.5
11,0.0,2.0,6.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
12,,,,,,,,,,,
13,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
14,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
15,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
16,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
17,24.0,52.0,84.0,69.0,0.3157894736842105,0.25806451612903225,0.47161572052401746,0.33055022836044734,0.28402366863905326,-0.12962509918099419,0.40481601731601735
