,App,SHA,TestFilePath,ExtractMethod,isExtractMethod,prediction
21,instancio/instancio,b3a618f2258f0ea45f95e27f92be27c33f754e5d,org/instancio/generator/util/CollectionGeneratorTest.java,0.0,False,False
29,instancio/instancio,b3a618f2258f0ea45f95e27f92be27c33f754e5d,org/instancio/internal/context/ModelContextTest.java,0.0,False,False
41,instancio/instancio,b3a618f2258f0ea45f95e27f92be27c33f754e5d,org/instancio/internal/reflection/instantiation/NoArgumentConstructorInstantiationStrategyTest.java,0.0,False,False
76,instancio/instancio,db99d66ac7ffaecf0f4acabaa3d92ce133ad186d,org/instancio/generator/time/LocalDateTimeGeneratorTest.java,0.0,False,False
79,instancio/instancio,db99d66ac7ffaecf0f4acabaa3d92ce133ad186d,org/instancio/generator/time/YearMonthGeneratorTest.java,0.0,False,False
96,instancio/instancio,db99d66ac7ffaecf0f4acabaa3d92ce133ad186d,org/instancio/internal/random/RandomDataGeneratorTest.java,0.0,False,False
98,instancio/instancio,db99d66ac7ffaecf0f4acabaa3d92ce133ad186d,org/instancio/internal/reflection/DeclaredFieldsCollectorTest.java,0.0,False,False
123,instancio/instancio,44fb14733f5e85226b60f8130b03247894f35c27,org/instancio/generator/lang/BooleanGeneratorTest.java,0.0,False,False
143,instancio/instancio,44fb14733f5e85226b60f8130b03247894f35c27,org/instancio/generator/util/CollectionGeneratorTest.java,0.0,False,False
146,instancio/instancio,44fb14733f5e85226b60f8130b03247894f35c27,org/instancio/generator/util/MapGeneratorTest.java,0.0,False,False
151,instancio/instancio,44fb14733f5e85226b60f8130b03247894f35c27,org/instancio/internal/ThreadLocalSettingsTest.java,0.0,False,False
173,instancio/instancio,44fb14733f5e85226b60f8130b03247894f35c27,org/instancio/settings/SettingsTest.java,0.0,False,False
175,instancio/instancio,44fb14733f5e85226b60f8130b03247894f35c27,org/instancio/util/CollectionUtilsTest.java,0.0,False,False
176,instancio/instancio,44fb14733f5e85226b60f8130b03247894f35c27,org/instancio/util/ExceptionHandlerTest.java,0.0,False,False
189,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/generator/lang/ArrayGeneratorSpecTest.java,0.0,False,False
196,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/generator/text/TextPatternGeneratorTest.java,0.0,False,False
199,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/generator/time/LocalDateTimeGeneratorTest.java,0.0,False,False
207,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/generator/util/EnumSetGeneratorTest.java,0.0,False,False
209,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/api/InstancioApiTest.java,0.0,False,False
219,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/internal/random/DefaultRandomTest.java,0.0,False,False
220,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/internal/random/RandomDataGeneratorTest.java,0.0,False,False
224,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/internal/reflection/DefaultPackageFilterTest.java,0.0,False,False
226,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/internal/reflection/instantiation/NoArgumentConstructorInstantiationStrategyTest.java,0.0,False,False
231,instancio/instancio,18b4621f84622d9fb0f74fea641e94385c505224,org/instancio/internal/selectors/SelectorImplTest.java,0.0,False,False
