,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.5
1,9.0,3.0,1.0,0.0,0.75,1.0,0.7692307692307693,0.9230769230769231,0.8571428571428571,0.4330127018922193,0.625
2,19.0,4.0,0.0,0.0,0.8260869565217391,1.0,0.8260869565217391,1.0,0.9047619047619048,0.0,0.5
3,2.0,0.0,1.0,10.0,1.0,0.16666666666666666,0.23076923076923078,0.15384615384615385,0.2857142857142857,0.12309149097933272,0.5833333333333334
4,4.0,1.0,0.0,0.0,0.8,1.0,0.8,1.0,0.8888888888888888,0.0,0.5
5,3.0,1.0,0.0,0.0,0.75,1.0,0.75,1.0,0.8571428571428571,0.0,0.5
6,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,1.0
10,,,,,,,,,,,
11,4.0,1.0,0.0,0.0,0.8,1.0,0.8,1.0,0.8888888888888888,0.0,0.25
12,1.0,0.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.6666666666666666
13,3.0,2.0,0.0,1.0,0.6,0.75,0.5,0.8333333333333334,0.6666666666666666,-0.31622776601683794,0.25
14,,,,,,,,,,,
15,5.0,5.0,13.0,4.0,0.5,0.5555555555555556,0.6666666666666666,0.37037037037037035,0.5263157894736842,0.27116307227332026,0.7685185185185185
16,5.0,1.0,1.0,2.0,0.8333333333333334,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.1889822365046136,0.5714285714285714
17,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,0.0,0.0,2.0,6.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.0,0.0,3.0,4.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.5
21,0.0,0.0,2.0,11.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.5
22,0.0,0.0,2.0,35.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.5
23,2.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,-0.3333333333333333,0.3333333333333333
24,4.0,0.0,0.0,5.0,1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6153846153846154,0.0,
25,6.0,5.0,6.0,6.0,0.5454545454545454,0.5,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.045454545454545456,0.5416666666666666
26,6.0,3.0,3.0,5.0,0.6666666666666666,0.5454545454545454,0.5294117647058824,0.5294117647058824,0.6,0.04351941398892446,0.5
27,6.0,2.0,2.0,6.0,0.75,0.5,0.5,0.5,0.6,0.0,0.47916666666666674
28,7.0,4.0,2.0,3.0,0.6363636363636364,0.7,0.5625,0.6875,0.6666666666666666,0.034815531191139566,0.4083333333333333
29,5.0,3.0,0.0,6.0,0.625,0.45454545454545453,0.35714285714285715,0.5714285714285714,0.5263157894736842,-0.45226701686664544,0.2272727272727273
30,9.0,1.0,1.0,7.0,0.9,0.5625,0.5555555555555556,0.5555555555555556,0.6923076923076923,0.03952847075210474,0.65625
31,103.0,38.0,41.0,135.0,0.7304964539007093,0.4327731092436975,0.45425867507886436,0.45565153975838335,0.5435356200527706,-0.04198937135661768,0.5156943398791224
