,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,2.0,1.0,7.0,0.0,0.6666666666666666,1.0,0.9,0.3,0.8,0.7637626158259734,0.875
1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
2,1.0,0.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5
3,,,,,,,,,,,
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,0.0,1.0,1.0,3.0,0.0,0.0,0.2,0.2,0.0,-0.6123724356957946,0.5
6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
7,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.4,0.4,0.4,-0.16666666666666666,0.5
9,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
10,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
13,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
14,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5
15,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,,,,,,,,,,,
18,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
19,1.0,0.0,2.0,1.0,1.0,0.5,0.75,0.25,0.6666666666666666,0.5773502691896258,0.5
20,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.5,0.8,0.5773502691896258,0.6666666666666666
21,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,
22,2.0,2.0,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0.625
23,,,,,,,,,,,
24,0.0,1.0,2.0,1.0,0.0,0.0,0.5,0.25,0.0,-0.3333333333333333,0.6666666666666667
25,2.0,3.0,7.0,1.0,0.4,0.6666666666666666,0.6923076923076923,0.38461538461538464,0.5,0.31754264805429416,0.7666666666666666
26,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,-1.0,0.0
27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0
29,15.0,21.0,33.0,23.0,0.4166666666666667,0.39473684210526316,0.5217391304347826,0.36351084812623274,0.40540540540540543,0.0058999360450399056,0.4764705882352941
