,App,SHA,TestFilePath,ModifyMethodAnnotation,isModifyMethodAnnotation,prediction
0,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/analysis/clinical/ClinicalUtilsTest.java,0.0,False,True
6,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/analysis/rga/RgaQueryParserTest.java,0.0,False,False
17,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/analysis/variant/samples/VariantQueryOptimizerTest.java,0.0,False,False
18,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/app/cli/analysis/VariantQueryCommandUtilsTest.java,0.0,False,False
24,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/catalog/db/mongodb/AuthorizationMongoDBAdaptorTest.java,0.0,False,False
28,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/catalog/db/mongodb/MetaMongoDBAdaptorTest.java,0.0,False,False
69,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/client/rest/UserClientTest.java,0.0,False,False
76,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/core/config/storage/IndexFieldConfigurationTest.java,0.0,False,False
80,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/master/monitor/executors/K8SExecutorTest.java,0.0,False,False
81,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/master/monitor/executors/LocalExecutorTest.java,0.0,False,False
84,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/server/generator/writers/ParentClientRestApiWriterTest.java,0.0,False,False
97,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/analysis/clinical/exomiser/ExomiserInterpretationAnalysisTest.java,0.0,False,False
104,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/analysis/tools/ToolExecutorFactoryTest.java,0.0,False,False
106,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/analysis/variant/CatalogUtilsTest.java,0.0,False,False
114,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/app/cli/analysis/VariantQueryCommandUtilsTest.java,0.0,False,False
115,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/app/cli/analysis/InternalMainTest.java,0.0,False,False
121,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/db/mongodb/FileMongoDBAdaptorTest.java,0.0,False,False
130,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/db/mongodb/StudyMongoDBAdaptorTest.java,0.0,False,False
131,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/db/mongodb/UserMongoDBAdaptorTest.java,0.0,False,False
135,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/managers/CatalogManagerTest.java,0.0,False,False
138,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/managers/FileManagerTest.java,0.0,False,False
139,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/managers/IndividualManagerTest.java,0.0,False,False
142,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/managers/PanelManagerTest.java,0.0,False,False
148,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/db/mongodb/converters/CatalogFamilyToSolrFamilyConverterTest.java,0.0,False,False
154,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/utils/AvroToAnnotationConverterTest.java,0.0,False,False
155,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/utils/CatalogSampleAnnotationsLoaderTest.java,0.0,False,False
166,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/core/cellbase/CellBaseValidatorTest.java,0.0,False,False
168,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/core/common/TimeUtilsTest.java,0.0,False,False
170,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/core/common/VersionUtilsTest.java,0.0,False,False
174,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/core/tools/ToolParamsTest.java,0.0,False,False
183,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/server/rest/JobWSServerTest.java,0.0,False,False
184,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/server/rest/OpenCGAWSServerTest.java,0.0,False,False
188,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/server/rest/UserWSServerTest.java,0.0,False,False
194,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/analysis/file/PostLinkSampleAssociationTest.java,0.0,False,False
195,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/analysis/individual/qc/IndividualQcUtilsTest.java,0.0,False,False
196,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/analysis/rga/RgaEngineTest.java,0.0,False,False
197,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/analysis/rga/RgaManagerTest.java,0.0,False,False
218,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/catalog/db/mongodb/IndividualMongoDBAdaptorTest.java,0.0,False,False
220,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/catalog/db/mongodb/MetaMongoDBAdaptorTest.java,0.0,False,False
221,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/catalog/db/mongodb/MongoDBAdaptorTest.java,0.0,False,False
247,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/catalog/db/mongodb/converters/CatalogSampleToSolrSampleConverterTest.java,0.0,False,False
254,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/catalog/utils/FqnUtilsTest.java,0.0,False,False
273,opencb/opencga,d515b60e1e7110b62a6b4d067f4bf703848d8f19,org/opencb/opencga/master/monitor/executors/LocalExecutorTest.java,0.0,False,False
301,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/analysis/variant/manager/operations/VariantFileIndexerOperationManagerTest.java,0.0,False,False
312,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/catalog/db/mongodb/AuthorizationMongoDBAdaptorTest.java,0.0,False,False
330,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/catalog/managers/FileManagerTest.java,0.0,False,False
338,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/catalog/migration/MigrationManagerTest.java,0.0,False,False
346,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/catalog/utils/AvroToAnnotationConverterTest.java,0.0,False,False
348,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/catalog/utils/FileMetadataReaderTest.java,0.0,False,False
355,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/client/config/ClientConfigurationTest.java,0.0,False,False
361,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/core/common/UriUtilsTest.java,0.0,False,False
379,opencb/opencga,dfd74656fe9f998ff19be16d5b02d142ed88a3f1,org/opencb/opencga/server/rest/StudyWSServerTest.java,0.0,False,False
404,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/app/migrations/v2_2_0/storage/UpdateSampleIndexStatusTest.java,0.0,False,False
405,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/catalog/auth/authorization/AuthorizationManagerTest.java,0.0,False,False
417,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/catalog/db/mongodb/SampleMongoDBAdaptorTest.java,0.0,False,False
426,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/catalog/managers/FileManagerTest.java,0.0,False,False
432,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/catalog/managers/SampleManagerTest.java,0.0,False,False
434,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/catalog/migration/MigrationManagerTest.java,0.0,False,False
436,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/catalog/db/mongodb/converters/CatalogFamilyToSolrFamilyConverterTest.java,0.0,False,False
451,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/client/config/ClientConfigurationTest.java,0.0,False,False
457,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/core/common/UriUtilsTest.java,0.0,False,False
469,opencb/opencga,6137680dd01c58e201059cfd9e8b430088e1da3a,org/opencb/opencga/server/rest/FileWSServerTest.java,0.0,False,False
483,opencb/opencga,dd2362e33bf416f5847ff1080a2c2ae6e069f045,org/opencb/opencga/analysis/individual/qc/IndividualQcUtilsTest.java,0.0,False,False
493,opencb/opencga,dd2362e33bf416f5847ff1080a2c2ae6e069f045,org/opencb/opencga/analysis/variant/manager/operations/VariantFileIndexerOperationManagerTest.java,0.0,False,False
516,opencb/opencga,dd2362e33bf416f5847ff1080a2c2ae6e069f045,org/opencb/opencga/catalog/io/CatalogIOManagerTest.java,0.0,False,False
519,opencb/opencga,dd2362e33bf416f5847ff1080a2c2ae6e069f045,org/opencb/opencga/catalog/managers/CatalogManagerTest.java,0.0,False,False
522,opencb/opencga,dd2362e33bf416f5847ff1080a2c2ae6e069f045,org/opencb/opencga/catalog/managers/FileManagerTest.java,0.0,False,False
527,opencb/opencga,dd2362e33bf416f5847ff1080a2c2ae6e069f045,org/opencb/opencga/catalog/managers/ProjectManagerTest.java,0.0,False,False
578,opencb/opencga,6cb36cd46a226e153815d8898344c99394d498e6,org/opencb/opencga/analysis/file/PostLinkSampleAssociationTest.java,0.0,False,False
585,opencb/opencga,6cb36cd46a226e153815d8898344c99394d498e6,org/opencb/opencga/analysis/tools/ToolFactoryTest.java,0.0,False,False
